location_id,latitude,longitude,rainfall_mm,soil_moisture,slope_degree,elevation_m,terrain_roughness,historical_landslide_count,landslide_occurred
1061,27.6762,97.0528,110.9,26.5,6.3,535,0.421,5,0
1062,26.591,93.7956,13.3,11.6,33.8,1917,0.625,3,0
1063,27.1088,90.4235,15.7,6.9,11.1,1138,0.379,5,1
1064,28.2075,93.942,22.7,12.0,16.4,868,0.153,3,0
1065,27.491,91.0447,1.1,25.6,15.1,1298,0.46,2,0
1066,27.0447,97.2732,63.2,31.3,9.9,505,0.364,0,1
1067,27.0756,91.7969,9.8,35.1,29.7,1597,0.331,3,0
1068,25.6717,94.5116,53.6,35.5,61.5,2890,0.611,3,1
1069,24.1695,88.2207,87.5,32.0,44.4,2138,0.561,2,1
1070,26.4019,91.8006,45.3,13.8,11.3,962,0.085,0,0
1071,25.1802,96.3135,47.9,27.5,15.7,1368,0.305,1,0
1072,26.2469,93.7972,500.0,61.4,32.5,1629,0.51,3,1
1073,28.6937,92.2175,20.4,20.3,58.7,2853,0.467,1,1
1074,25.2867,96.8914,15.2,18.5,21.0,1554,0.318,2,1
1075,24.3207,96.1129,12.0,19.3,50.5,2661,0.55,2,0
1076,25.5476,91.061,235.1,39.2,46.1,1973,0.602,1,1
1077,25.6148,93.1732,212.3,49.5,46.8,2632,0.698,2,1
1078,27.6405,92.6533,159.4,48.5,64.8,2725,0.771,9,1
1079,27.0637,94.0059,276.3,59.1,42.5,2212,0.532,4,1
1080,28.3114,91.1741,124.5,38.0,22.1,1387,0.381,2,0
1081,27.6537,90.3199,197.5,43.2,4.5,830,0.271,2,1
1082,26.2351,96.6704,3.2,5.8,21.0,1044,0.358,2,0
1083,28.4771,96.7768,253.6,55.2,42.8,1938,0.309,6,0
1084,24.9184,96.0116,1.2,21.8,48.7,2574,0.604,4,0
1085,24.1249,97.2929,67.3,20.4,56.0,2445,0.66,3,1
1086,24.4953,95.0774,30.7,18.2,43.1,2153,0.492,2,1
1087,27.973,95.2643,193.5,55.3,33.1,1936,0.569,6,1
1088,26.5403,95.2446,84.2,33.4,18.5,1296,0.392,2,0
1089,24.887,92.5658,112.0,31.8,38.3,1779,0.4,4,1
1090,26.7557,92.3363,72.5,32.0,30.2,1521,0.209,2,0
1091,24.8377,90.2821,244.1,44.4,65.0,3378,0.457,4,1
1092,27.8298,94.1258,88.6,29.1,57.5,2714,0.524,9,1
1093,26.4539,90.7485,2.9,14.0,16.9,807,0.298,2,0
1094,26.0956,90.4492,8.5,19.3,29.0,1414,0.26,1,0
1095,25.6583,93.5666,416.6,71.9,30.6,1564,0.28,1,0
1096,27.4666,91.8948,25.9,8.6,18.6,1544,0.216,1,0
1097,25.99,90.0791,257.7,57.9,9.1,676,0.373,1,1
1098,24.4821,95.7525,174.1,32.6,15.9,754,0.415,10,0
1099,24.649,96.1754,105.8,37.6,16.1,1103,0.261,3,0
1100,29.2904,89.5931,121.7,38.1,33.1,1483,0.29,6,1
1101,28.9972,88.0713,17.4,27.0,23.3,1224,0.2,1,0
1102,27.8484,91.1932,184.6,44.0,41.7,2463,0.313,1,0
1103,25.4623,95.5764,238.2,60.9,10.8,1025,0.229,1,1
1104,29.3305,95.9722,112.3,32.9,59.9,2531,0.418,3,0
1105,28.2831,89.3141,62.0,34.4,30.6,1638,0.337,2,0
1106,27.9429,95.3562,53.9,32.7,5.8,452,0.423,1,0
1107,26.4715,89.0992,5.7,12.6,13.6,730,0.294,6,1
1108,25.4973,91.7056,21.5,15.8,4.9,707,0.362,1,0
1109,24.5302,97.4868,147.7,34.1,67.2,3142,0.5,6,1
1110,28.9643,89.8296,74.5,21.4,59.2,2988,0.502,4,1
1111,26.5068,89.4627,92.5,26.2,13.9,1281,0.471,1,1
1112,25.113,92.0166,77.5,25.3,30.1,1477,0.354,3,0
1113,25.6828,93.8869,165.9,41.8,17.5,1446,0.376,1,1
1114,27.1857,96.8626,500.0,66.4,14.6,1047,0.488,1,1
1115,24.9723,97.3178,158.7,47.3,12.5,781,0.304,3,1
1116,28.7114,88.6616,2.0,18.5,34.0,2052,0.349,4,0
1117,28.1719,89.311,62.9,33.7,18.8,877,0.338,1,0
1118,27.957,95.512,44.2,11.9,13.1,1016,0.109,0,0
1119,26.3765,90.571,141.8,34.9,18.5,1345,0.168,2,1
1120,27.4502,96.4061,44.9,10.3,27.3,1388,0.185,3,1
1121,27.2125,94.3028,50.8,31.4,16.1,1348,0.461,1,0
1122,27.5742,89.0625,266.3,44.6,17.9,984,0.388,1,1
1123,24.4644,95.909,,39.9,19.7,1476,0.251,1,0
1124,26.2869,89.6754,35.1,18.6,25.3,1167,0.257,3,0
1125,24.2289,92.0232,43.4,27.0,16.5,872,0.383,3,1
1126,26.7169,93.2458,25.0,15.4,25.0,1367,0.534,3,0
1127,25.8142,92.7573,46.8,29.2,8.4,1034,0.176,1,1
1128,24.7949,94.5185,,19.5,7.7,509,0.18,1,1
1129,24.5687,94.2005,21.3,18.5,41.8,2385,0.62,6,0
1130,27.232,97.4244,311.3,45.2,17.1,945,0.471,3,1
1131,24.9383,97.4945,34.1,11.8,9.8,809,0.431,3,1
1132,29.0882,92.9064,19.3,10.4,23.8,1299,0.276,1,1
1133,27.1958,88.9044,14.3,37.5,25.6,1207,0.219,4,0
1134,25.9078,94.9145,16.3,19.3,44.4,2537,0.472,3,0
1135,27.25,97.2783,142.2,20.2,12.7,915,0.203,0,0
1136,24.1254,91.0241,263.9,63.5,64.0,3143,0.78,6,1
1137,29.2721,92.3815,287.7,36.8,31.5,1763,0.225,2,1
1138,26.6527,92.0354,72.9,25.7,17.8,1163,0.372,4,1
1139,28.305,88.4885,80.7,36.0,31.9,1808,0.575,0,1
1140,24.455,94.3865,132.9,47.9,34.0,2089,0.617,5,1
1141,26.6766,91.3567,26.8,29.9,27.9,1706,0.446,2,0
1142,26.6989,95.4809,333.2,55.8,31.8,1745,0.592,5,1
1143,29.158,95.9051,50.6,40.8,19.8,1344,0.162,1,1
1144,27.1445,95.8017,298.3,38.6,42.8,2236,0.429,2,1
1145,26.6042,91.9583,15.8,37.3,57.1,2687,0.384,7,0
1146,25.4684,91.0547,4.0,31.7,20.5,1357,0.529,1,1
1147,25.8236,95.1138,31.7,37.2,13.3,942,0.45,2,0
1148,26.8637,95.6132,,12.9,18.3,1362,0.133,0,0
1149,26.414,92.6669,500.0,64.0,64.0,3338,0.434,8,1
1150,24.1189,96.4838,4.9,25.9,61.6,3236,0.557,2,0
1151,28.5446,89.3671,4.9,21.3,31.5,1935,0.313,2,1
1152,28.9289,96.3512,22.0,23.4,2.6,625,0.356,1,1
1153,24.7714,88.9129,10.0,34.7,4.2,793,0.092,0,0
1154,27.0472,89.4585,10.2,25.2,49.0,2185,0.643,9,0
1155,24.5972,93.0715,30.9,17.7,38.6,1979,0.479,7,0
1156,27.6973,88.6414,12.0,18.4,15.5,900,0.254,0,0
1157,25.5468,88.5017,104.7,20.2,7.3,394,0.107,0,0
1158,27.6268,88.0049,64.4,17.6,60.3,3189,0.801,8,1
1159,27.9985,92.145,76.1,17.4,11.1,1149,0.321,0,1
1160,28.2276,95.3589,28.9,33.2,18.5,1200,0.299,1,0
1161,24.5926,88.331,17.7,28.7,31.6,1542,0.359,2,1
1162,29.0381,94.1964,315.4,55.9,27.4,1681,0.545,4,1
1163,25.2662,95.8197,15.3,18.0,5.6,628,0.366,7,0
1164,24.2058,89.596,38.6,29.8,21.1,1506,0.465,5,0
1165,27.0517,89.3952,41.8,34.7,43.6,2544,0.537,5,1
1166,26.0401,96.1776,60.7,38.9,34.5,1724,0.585,4,1
1167,28.5638,95.8197,5.6,22.3,29.2,1439,0.314,2,0
1168,28.4454,93.1199,52.3,36.1,43.7,2035,0.573,3,1
1169,25.7443,95.7824,49.7,26.1,35.0,1565,0.395,1,0
1170,29.2409,88.8812,60.1,26.1,37.6,1880,0.491,2,0
1171,25.6,91.7476,491.6,85.8,56.4,2368,0.775,5,1
1172,26.8328,95.0091,12.3,18.0,13.3,712,0.482,3,0
1173,25.4078,90.4458,63.7,24.0,21.3,1142,0.347,4,0
1174,29.1482,95.1471,119.7,27.3,41.9,1888,0.509,6,0
1175,24.9053,92.7897,422.3,67.3,6.2,861,0.4,3,0
1176,24.247,95.1275,53.0,27.5,63.1,2698,0.815,12,1
1177,26.393,92.4145,22.7,27.8,11.0,1146,0.385,3,0
1178,29.4581,91.4951,4.3,18.5,66.4,2911,0.469,3,0
1179,28.9042,90.0823,28.4,14.5,23.5,1116,0.286,3,0
1180,28.1173,89.9796,33.5,35.5,10.0,507,0.425,1,0
1181,28.8994,95.1392,411.9,60.7,24.2,1569,0.469,3,0
1182,28.914,89.1296,109.4,45.6,9.1,644,0.358,2,0
1183,26.8537,88.8168,13.2,12.5,17.5,1157,0.384,1,0
1184,25.7376,89.6748,4.4,22.6,49.7,2166,0.497,6,1
1185,28.2461,89.6658,480.7,74.3,23.8,1742,0.32,1,1
1186,27.6391,95.8195,12.6,32.0,24.6,1172,0.488,5,0
1187,26.0551,91.7858,99.8,19.9,58.8,2740,0.51,3,0
1188,24.5196,97.4087,183.7,53.4,27.4,1792,0.457,2,0
1189,28.1073,89.3035,398.9,65.1,35.5,1691,0.527,1,1
1190,25.4435,94.2086,2.0,23.2,19.8,1079,0.47,5,0
1191,29.1525,92.2629,38.3,24.8,17.2,1354,0.243,1,1
1192,25.3253,91.7327,141.7,21.2,18.4,1027,0.419,7,1
1193,24.6752,96.3133,72.8,28.2,2.1,186,0.057,0,0
1194,28.5711,97.2682,36.2,16.8,22.5,1300,0.205,1,0
1195,24.8431,96.2922,80.8,24.2,27.7,1217,0.352,2,0
1196,24.986,89.8269,214.3,48.5,58.4,3073,0.411,4,1
1197,27.2966,90.0976,206.2,42.9,26.5,1609,0.556,3,0
1198,28.8101,94.2327,287.7,39.1,27.2,1596,0.542,6,1
1199,25.0804,90.7463,408.7,51.8,25.4,1257,0.189,0,1
1200,25.7068,94.9799,0.7,10.4,41.8,2262,0.614,1,1
1201,28.2757,93.381,161.0,28.2,28.7,1722,0.395,6,1
1202,29.345,93.2336,211.0,46.9,32.9,1458,0.5,2,0
1203,26.7541,95.8712,9.6,11.2,8.0,1037,0.408,5,0
1204,24.7914,94.7501,53.0,38.1,43.9,2262,0.523,4,0
1205,24.0766,88.2525,15.0,12.8,29.3,1827,0.242,4,1
1206,25.2631,88.4699,96.1,17.9,42.5,1984,0.284,1,1
1207,24.725,93.7148,4.9,32.6,15.0,785,0.299,1,0
1208,27.7271,92.6188,346.1,51.9,6.3,844,0.422,3,0
1209,24.6701,90.4718,208.0,40.8,22.1,1540,0.376,2,0
1210,26.7848,91.9772,10.1,35.8,27.5,1470,0.333,4,0
1211,27.8184,95.2001,467.9,85.7,42.0,1797,0.292,4,1
1212,27.1961,95.8528,17.7,29.0,67.0,3353,0.813,8,0
1213,25.0988,93.3316,172.6,25.7,16.2,892,0.239,4,0
1214,28.4227,91.661,363.4,63.2,22.5,1237,0.432,1,1
1215,27.9347,90.5716,60.2,42.3,33.3,1872,0.5,5,1
1216,28.0644,92.9582,1.9,34.5,15.8,802,0.207,1,0
1217,24.7208,90.9901,21.6,10.2,66.8,2822,0.471,4,0
1218,24.6806,93.3589,206.6,39.7,26.9,1194,0.333,2,1
1219,29.1016,94.4282,234.6,40.2,16.7,1410,0.238,0,1
1220,26.1867,88.6278,128.2,22.7,25.2,1326,0.448,1,1
1221,25.6552,88.0101,94.4,36.8,55.9,2798,0.701,5,0
1222,26.6872,90.0166,4.7,13.6,36.8,2264,0.334,1,0
1223,27.6458,96.4979,128.7,29.5,5.9,805,0.251,3,0
1224,29.2559,94.1398,14.6,9.0,27.8,1580,0.202,2,1
1225,25.5755,89.6336,66.0,27.4,34.8,1857,0.318,2,0
1226,29.0864,96.4575,38.6,13.7,17.8,1076,0.423,4,0
1227,24.1367,92.4646,17.2,,42.4,2216,0.6,4,0
1228,27.0536,92.5229,52.5,14.8,47.9,2687,0.63,3,0
1229,27.4869,96.8876,19.8,36.7,41.3,2304,0.332,2,0
1230,24.5824,88.5651,9.7,10.1,21.1,1241,0.361,4,1
1231,24.7719,90.0442,77.8,29.5,5.0,533,0.202,2,0
1232,26.3051,93.5648,4.1,11.2,45.2,2526,0.698,1,0
1233,29.3143,89.8571,44.2,11.8,16.9,871,0.374,3,0
1234,27.2782,94.4555,17.5,12.8,31.9,1971,0.587,3,0
1235,29.1316,90.0339,352.0,44.9,15.4,895,0.161,2,1
1236,28.424,88.942,10.2,10.0,8.1,925,0.234,2,1
1237,26.5706,89.9664,88.6,29.8,33.0,1984,0.529,4,0
1238,28.3162,92.016,8.5,26.0,20.2,1242,0.282,3,1
1239,24.0981,89.6733,91.7,17.3,6.9,511,0.299,2,0
1240,24.6003,89.2796,8.1,19.3,28.3,1823,0.393,3,0
1241,28.5619,96.1727,37.8,27.0,17.6,1061,0.514,5,1
1242,28.3825,91.0438,3.9,12.3,42.7,2032,0.354,2,0
1243,25.2795,91.4272,4.7,16.7,15.0,1057,0.474,4,0
1244,26.9192,88.5251,80.8,15.7,15.6,1029,0.265,3,1
1245,27.3331,91.395,159.8,29.0,63.2,3106,0.609,10,0
1246,28.7726,90.5157,48.8,24.6,5.5,416,0.248,2,0
1247,27.3171,93.7996,0.7,35.8,15.7,1033,0.211,3,0
1248,26.2691,89.9512,69.7,43.5,18.2,1452,0.507,4,0
1249,26.058,96.4395,76.8,43.8,18.1,849,0.485,7,1
1250,26.3424,96.8318,3.4,18.2,24.2,1388,0.55,1,0
1251,27.5856,88.9484,6.0,7.7,18.3,1294,0.521,3,0
1252,28.7712,89.0203,77.0,23.2,41.6,2385,0.545,5,0
1253,26.4964,89.0956,20.9,14.3,12.3,1008,0.263,3,0
1254,25.3631,93.8859,316.7,39.8,35.9,2113,0.58,6,1
1255,25.3016,89.1587,37.6,11.6,32.2,1544,0.224,2,0
1256,28.1031,96.0976,240.9,45.3,30.1,1551,0.534,4,1
1257,28.4911,95.1656,216.3,39.0,43.2,2487,0.487,4,0
1258,24.579,95.7882,18.2,12.2,57.2,3008,0.651,4,0
1259,24.3661,92.9976,36.1,31.0,5.5,711,0.186,0,0
1260,27.2694,97.4684,,24.9,19.3,1205,0.276,2,0
1261,24.804,88.4197,96.6,42.0,34.3,1788,0.241,2,0
1262,28.5357,91.812,85.1,21.5,58.7,2489,0.561,3,0
1263,25.7068,91.0774,19.1,23.6,9.9,1121,0.229,0,0
1264,24.7913,97.0121,16.3,12.1,43.7,2421,0.381,5,0
1265,29.0653,93.4802,500.0,75.1,45.0,2219,0.399,6,1
1266,24.9104,95.6588,52.5,15.1,10.7,724,0.305,5,0
1267,25.566,89.6182,30.7,13.0,7.2,628,0.175,1,0
1268,24.8449,97.297,31.3,27.2,33.3,1518,0.554,1,0
1269,24.6352,92.7371,8.8,13.8,31.5,1865,0.255,2,0
1270,24.1163,92.6899,22.7,12.4,36.9,1966,0.477,5,0
1271,24.3047,97.2234,7.6,34.6,46.8,2136,0.376,3,0
1272,24.9605,91.617,52.6,11.6,67.3,3228,0.66,7,0
1273,24.2936,91.7765,147.4,38.5,37.2,2273,0.469,3,1
1274,27.2513,93.5552,64.1,28.8,40.5,1806,0.527,1,1
1275,27.7439,89.2165,107.3,24.2,21.9,1297,0.317,0,0
1276,26.165,91.0503,50.7,24.3,38.9,2002,0.463,2,0
1277,25.749,89.8355,355.5,46.4,25.5,1237,0.242,2,1
1278,26.7749,88.9812,439.1,75.5,43.5,2212,0.475,6,1
1279,28.8125,96.2284,10.0,12.6,14.8,1116,0.248,1,1
1280,28.6812,93.5986,6.3,11.3,11.6,674,0.344,5,0
1281,24.2391,91.4074,37.5,18.5,8.5,548,0.231,3,0
1282,24.9982,91.8824,41.0,37.4,17.8,1411,0.43,3,1
1283,25.3021,92.0994,179.8,49.4,6.0,558,0.21,0,0
1284,25.3716,94.0149,140.9,49.8,17.7,1249,0.212,0,0
1285,27.1418,96.8043,301.5,58.2,43.9,2295,0.402,5,1
1286,26.2894,96.8614,15.0,27.0,9.2,1055,0.079,0,1
1287,24.2709,91.7192,31.6,23.1,41.4,2274,0.492,5,0
1288,26.0549,91.128,23.8,35.6,21.2,1536,0.474,3,0
1289,26.8806,92.2849,88.9,30.4,26.0,1578,0.481,1,0
1290,24.5592,93.3954,11.2,16.9,4.9,611,0.208,1,0
1291,28.584,92.3873,2.1,24.9,28.4,1511,0.268,1,0
1292,24.2858,94.2582,52.4,27.5,47.4,2261,0.661,2,1
1293,29.0866,93.2668,24.0,11.0,4.7,581,0.054,0,0
1294,24.5451,91.0468,30.1,20.2,32.7,1499,0.378,6,0
1295,28.6397,91.2844,19.2,16.5,31.9,1673,0.555,4,0
1296,28.9646,91.5966,71.1,39.0,25.9,1409,0.33,2,1
1297,29.3876,88.8991,145.4,32.4,38.5,1664,0.304,3,0
1298,28.4111,89.5776,4.9,30.9,4.1,457,0.134,1,0
1299,28.2871,94.8696,175.0,37.7,37.9,2142,0.493,5,0
1300,27.5337,91.6964,23.8,30.9,20.3,1317,0.196,3,0
1301,28.2845,90.0381,39.0,13.1,23.9,1620,0.421,0,0
1302,24.74,93.3454,146.2,49.7,7.7,788,0.227,1,0
1303,26.9484,95.1776,26.8,22.6,43.0,2418,0.42,3,1
1304,26.8282,90.4455,9.0,13.7,30.0,1857,0.296,5,0
1305,28.7166,95.8545,91.0,22.1,10.5,589,0.399,5,0
1306,26.5454,96.8113,182.8,33.0,3.2,912,0.18,0,0
1307,26.118,93.6752,10.0,17.2,27.2,1198,0.477,1,0
1308,27.5176,94.355,13.0,28.5,34.4,1894,0.405,5,1
1309,25.4655,88.4995,23.3,37.0,6.2,903,0.078,1,0
1310,24.7687,96.9824,47.9,30.8,31.6,1596,0.387,4,0
1311,26.6283,91.7286,48.2,27.0,16.9,1195,0.316,3,0
1312,26.2929,96.7771,161.1,36.4,9.5,733,0.246,3,1
1313,25.2791,93.5003,27.0,33.6,15.1,746,0.427,0,0
1314,26.0213,88.0439,5.1,31.8,50.9,2142,0.704,6,0
1315,26.0152,88.3661,117.9,26.7,5.7,394,0.353,8,0
1316,25.8012,94.464,134.3,49.3,63.9,2725,0.659,5,1
1317,26.0871,93.3453,1.8,17.1,18.2,1256,0.338,1,0
1318,27.7716,88.2521,23.0,32.2,43.3,2200,0.547,3,0
1319,25.6328,95.0629,268.3,64.5,25.9,1455,0.288,2,0
1320,29.2187,96.0954,21.0,29.0,61.3,3036,0.733,4,1
1321,29.0399,92.716,55.0,15.6,32.6,1416,0.56,4,0
1322,26.645,92.4247,57.1,29.2,65.6,2914,0.544,2,0
1323,25.806,88.052,136.8,23.3,19.1,1408,0.488,3,1
1324,26.9449,95.4732,271.6,59.2,2.5,837,0.356,5,1
1325,28.6671,91.1418,85.7,22.8,15.9,1043,0.276,2,0
1326,27.5892,96.3483,215.2,50.1,39.8,1749,0.629,2,0
1327,28.4242,91.5441,11.1,34.4,24.9,1655,0.214,1,0
1328,26.93,93.3682,116.6,23.0,38.5,2260,0.268,5,0
1329,27.481,90.5682,82.2,25.9,41.5,2050,0.416,4,1
1330,25.5849,89.5256,21.9,27.3,14.5,850,0.323,2,1
1331,28.0419,95.3616,12.1,19.1,33.6,1475,0.365,1,0
1332,25.1132,92.7176,51.6,15.7,8.0,834,0.43,0,0
1333,27.8214,93.0966,84.7,14.7,52.6,2841,0.453,4,1
1334,28.734,97.1715,17.1,19.2,34.6,1959,0.343,7,0
1335,24.7266,97.154,,36.9,17.6,1026,0.371,3,0
1336,27.3791,96.1286,37.8,26.7,29.4,1726,0.198,3,0
1337,24.523,89.7823,7.8,10.3,28.3,1814,0.48,1,0
1338,27.9914,93.6456,80.0,27.5,13.4,969,0.24,1,0
1339,24.4647,96.3424,42.9,20.9,19.4,1450,0.52,4,0
1340,29.1477,91.5574,48.8,18.5,22.7,1282,0.428,2,0
1341,24.7557,88.9605,273.9,57.6,4.9,540,0.054,0,0
1342,29.2738,95.7041,17.1,16.1,40.1,2112,0.304,4,0
1343,28.4049,92.5768,84.4,30.8,11.9,901,0.115,0,0
1344,27.2653,93.3617,5.2,34.2,18.6,1528,0.505,4,1
1345,28.3044,97.3304,154.4,38.5,23.3,1393,0.429,3,0
1346,28.3731,93.7685,20.1,26.1,13.8,922,0.263,1,0
1347,29.2031,92.0373,37.6,10.9,24.4,1352,0.243,2,0
1348,25.3936,91.5149,251.6,37.8,33.7,1832,0.574,1,0
1349,27.2454,91.9674,21.5,10.0,37.2,1836,0.329,0,0
1350,24.5228,89.1248,1.4,28.7,16.6,1270,0.393,2,0
1351,27.3889,95.5501,30.8,34.2,45.0,2166,0.605,2,1
1352,24.9421,95.9583,372.0,51.3,28.7,1517,0.309,0,1
1353,27.1072,90.7018,376.4,52.8,43.8,2284,0.494,6,1
1354,27.1484,90.8861,319.0,49.8,65.2,2751,0.524,5,1
1355,26.5629,96.3062,4.8,23.6,42.5,2259,0.435,2,1
1356,26.8745,88.2277,30.8,27.5,40.2,2061,0.654,0,1
1357,28.2016,92.9443,4.3,26.6,33.4,1753,0.5,6,0
1358,28.3958,92.4049,39.8,37.4,63.1,3127,0.759,6,1
1359,26.7068,94.5562,263.7,42.8,44.0,2391,0.51,3,1
1360,27.2978,89.5522,78.2,33.9,44.2,2460,0.39,5,0
1361,29.1218,94.3491,8.8,23.1,28.5,1502,0.475,2,0
1362,24.6585,91.579,75.6,22.4,2.8,441,0.219,2,0
1363,24.6441,93.8778,30.5,36.4,48.6,2544,0.395,1,1
1364,24.4824,88.3809,29.2,10.7,20.7,1335,0.303,2,0
1365,27.6182,92.3864,11.1,28.1,18.6,1286,0.378,1,1
1366,26.3023,92.9614,0.6,27.5,6.8,761,0.339,0,0
1367,28.2588,90.0361,277.8,63.9,34.5,2021,0.327,4,1
1368,27.6918,89.3264,6.1,21.5,67.5,2933,0.8,3,0
1369,25.835,89.7905,13.4,16.1,26.9,1565,0.331,1,0
1370,28.941,91.2693,25.1,33.3,59.5,2591,0.505,3,0
1371,28.1939,88.9197,500.0,83.8,16.0,1025,0.185,2,1
1372,25.4879,96.9995,13.5,21.7,65.7,3193,0.76,6,0
1373,26.0031,91.8474,37.8,32.8,13.3,977,0.23,0,0
1374,25.7294,95.6852,30.7,16.3,9.7,754,0.258,2,0
1375,24.8669,97.257,49.0,28.5,36.5,2179,0.332,3,1
1376,24.8128,88.767,11.6,33.0,25.3,1653,0.443,3,0
1377,29.1487,94.1909,29.8,17.8,15.2,1076,0.414,7,0
1378,26.4085,96.2784,293.5,52.0,43.3,2497,0.424,5,1
1379,26.1083,94.0252,37.7,38.6,41.5,2057,0.655,6,0
1380,28.0133,92.0757,237.1,55.7,25.3,1664,0.181,1,1
1381,27.0415,92.0952,13.9,34.0,9.5,598,0.117,1,0
1382,29.1488,88.341,8.7,17.6,3.3,432,0.258,0,0
1383,28.2917,93.0787,170.1,54.6,23.7,1285,0.439,4,0
1384,26.6365,97.4387,369.6,50.0,19.4,950,0.23,0,1
1385,26.07,97.1077,65.7,28.1,42.1,2135,0.502,3,1
1386,29.4265,88.3838,72.6,27.6,16.5,895,0.237,1,0
1387,27.9477,94.7051,500.0,84.7,17.3,1236,0.337,2,1
1388,29.2316,90.8668,40.7,37.6,63.5,2773,0.687,7,0
1389,24.6516,96.5784,67.4,34.9,27.2,1274,0.57,3,1
1390,28.6779,88.4286,359.7,63.8,12.4,1274,0.265,2,1
